Source Name	ERS	Type	MaterialType	ExtractName	AssayName	ERX	ERR
2i_3_25	ERS1032024	2i	single_cell	2i_3_25	Teichmann_2i_3_25_	ERX1283451	ERR1211200
2i_3_26	ERS1032025	2i	single_cell	2i_3_26	Teichmann_2i_3_26_	ERX1283452	ERR1211201
2i_3_27	ERS1032026	2i	single_cell	2i_3_27	Teichmann_2i_3_27_	ERX1283453	ERR1211202
2i_3_28	ERS1032027	2i	single_cell	2i_3_28	Teichmann_2i_3_28_	ERX1283454	ERR1211203
2i_3_29	ERS1032028	2i	single_cell	2i_3_29	Teichmann_2i_3_29_	ERX1283455	ERR1211204
2i_3_30	ERS1032029	2i	single_cell	2i_3_30	Teichmann_2i_3_30_	ERX1283456	ERR1211205
2i_3_31	ERS1032030	2i	single_cell	2i_3_31	Teichmann_2i_3_31_	ERX1283457	ERR1211206
2i_3_32	ERS1032031	2i	single_cell	2i_3_32	Teichmann_2i_3_32_	ERX1283458	ERR1211207
2i_3_33	ERS1032032	2i	single_cell	2i_3_33	Teichmann_2i_3_33_	ERX1283459	ERR1211208
2i_3_34	ERS1032033	2i	single_cell	2i_3_34	Teichmann_2i_3_34_	ERX1283460	ERR1211209
2i_3_35	ERS1032034	2i	single_cell	2i_3_35	Teichmann_2i_3_35_	ERX1283461	ERR1211210
2i_3_36	ERS1032035	2i	single_cell	2i_3_36	Teichmann_2i_3_36_	ERX1283462	ERR1211211
2i_3_37	ERS1032036	2i	single_cell	2i_3_37	Teichmann_2i_3_37_	ERX1283463	ERR1211212
2i_3_38	ERS1032037	2i	single_cell	2i_3_38	Teichmann_2i_3_38_	ERX1283464	ERR1211213
2i_3_39	ERS1032038	2i	single_cell	2i_3_39	Teichmann_2i_3_39_	ERX1283465	ERR1211214
2i_3_40	ERS1032039	2i	single_cell	2i_3_40	Teichmann_2i_3_40_	ERX1283466	ERR1211215
2i_3_41	ERS1032040	2i	single_cell	2i_3_41	Teichmann_2i_3_41_	ERX1283467	ERR1211216
2i_3_42	ERS1032041	2i	single_cell	2i_3_42	Teichmann_2i_3_42_	ERX1283468	ERR1211217
2i_3_43	ERS1032042	2i	single_cell	2i_3_43	Teichmann_2i_3_43_	ERX1283469	ERR1211218
2i_3_44	ERS1032043	2i	single_cell	2i_3_44	Teichmann_2i_3_44_	ERX1283470	ERR1211219
2i_3_45	ERS1032044	2i	single_cell	2i_3_45	Teichmann_2i_3_45_	ERX1283471	ERR1211220
2i_3_46	ERS1032045	2i	single_cell	2i_3_46	Teichmann_2i_3_46_	ERX1283472	ERR1211221
2i_3_47	ERS1032046	2i	single_cell	2i_3_47	Teichmann_2i_3_47_	ERX1283473	ERR1211222
2i_3_48	ERS1032047	2i	single_cell	2i_3_48	Teichmann_2i_3_48_	ERX1283474	ERR1211223
2i_3_49	ERS1032048	2i	single_cell	2i_3_49	Teichmann_2i_3_49_	ERX1283475	ERR1211224
2i_3_50	ERS1032049	2i	single_cell	2i_3_50	Teichmann_2i_3_50_	ERX1283476	ERR1211225
2i_3_51	ERS1032050	2i	single_cell	2i_3_51	Teichmann_2i_3_51_	ERX1283477	ERR1211226
2i_3_52	ERS1032051	2i	single_cell	2i_3_52	Teichmann_2i_3_52_	ERX1283478	ERR1211227
2i_3_53	ERS1032052	2i	single_cell	2i_3_53	Teichmann_2i_3_53_	ERX1283479	ERR1211228
2i_3_54	ERS1032053	2i	single_cell	2i_3_54	Teichmann_2i_3_54_	ERX1283480	ERR1211229
2i_3_55	ERS1032054	2i	single_cell	2i_3_55	Teichmann_2i_3_55_	ERX1283481	ERR1211230
2i_3_56	ERS1032055	2i	single_cell	2i_3_56	Teichmann_2i_3_56_	ERX1283482	ERR1211231
2i_3_57	ERS1032056	2i	single_cell	2i_3_57	Teichmann_2i_3_57_	ERX1283483	ERR1211232
2i_3_58	ERS1032057	2i	single_cell	2i_3_58	Teichmann_2i_3_58_	ERX1283484	ERR1211233
2i_3_59	ERS1032058	2i	single_cell	2i_3_59	Teichmann_2i_3_59_	ERX1283485	ERR1211234
2i_3_60	ERS1032059	2i	single_cell	2i_3_60	Teichmann_2i_3_60_	ERX1283486	ERR1211235
2i_3_61	ERS1032060	2i	single_cell	2i_3_61	Teichmann_2i_3_61_	ERX1283487	ERR1211236
2i_3_62	ERS1032061	2i	single_cell	2i_3_62	Teichmann_2i_3_62_	ERX1283488	ERR1211237
2i_3_63	ERS1032062	2i	single_cell	2i_3_63	Teichmann_2i_3_63_	ERX1283489	ERR1211238
2i_3_64	ERS1032063	2i	single_cell	2i_3_64	Teichmann_2i_3_64_	ERX1283490	ERR1211239
2i_3_65	ERS1032064	2i	single_cell	2i_3_65	Teichmann_2i_3_65_	ERX1283491	ERR1211240
2i_3_66	ERS1032065	2i	single_cell	2i_3_66	Teichmann_2i_3_66_	ERX1283492	ERR1211241
2i_3_67	ERS1032066	2i	single_cell	2i_3_67	Teichmann_2i_3_67_	ERX1283493	ERR1211242
2i_3_68	ERS1032067	2i	single_cell	2i_3_68	Teichmann_2i_3_68_	ERX1283494	ERR1211243
2i_3_69	ERS1032068	2i	single_cell	2i_3_69	Teichmann_2i_3_69_	ERX1283495	ERR1211244
2i_3_70	ERS1032069	2i	single_cell	2i_3_70	Teichmann_2i_3_70_	ERX1283496	ERR1211245
2i_3_71	ERS1032070	2i	single_cell	2i_3_71	Teichmann_2i_3_71_	ERX1283497	ERR1211246
2i_3_72	ERS1032071	2i	single_cell	2i_3_72	Teichmann_2i_3_72_	ERX1283498	ERR1211247
2i_3_73	ERS1032072	2i	single_cell	2i_3_73	Teichmann_2i_3_73_	ERX1283499	ERR1211248
